to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.	food#-1	anecdotes/miscellaneous#-1
all the money went into the interior decoration, none of it went to the chefs.	ambience#-1	food#-1
faan's got a great concept but a little rough on the delivery.	anecdotes/miscellaneous#-1	service#-1
the price is reasonable although the service is poor.	service#-1	price#-1
pricey, but worth a try, at least once.	price#-1	anecdotes/miscellaneous#-1
unfortunately, the food is outstanding, but everything else about this restaurant is the pits.	food#-1	anecdotes/miscellaneous#-1
they are often crowded on the weekends but they are efficient and accurate with their service.	service#-1	ambience#-1
overall a oh ya even though there is waiting it is deff worth it	anecdotes/miscellaneous#-1	service#-1
this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.	food#-1	anecdotes/miscellaneous#-1
service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.	anecdotes/miscellaneous#-1	service#-1
eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.	anecdotes/miscellaneous#-1	ambience#-1
granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.	service#-1	ambience#-1
the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.	food#-1	service#-1	ambience#-1
if you're craving for haru's great food, especially the house roll, but can't stand the wait building outside, head across the street to their sake bar!	food#-1	service#-1
would have rather tried terrace in the sky or water club for that price	anecdotes/miscellaneous#-1	price#-1
they might be all business at the counter when you give your order, but their food says i love you.	food#-1	service#-1
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.	anecdotes/miscellaneous#-1	food#-1
since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.	service#-1	ambience#-1
it costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.	food#-1	price#-1
the food is great, service is ok.	food#-1	service#-1
the rest of the dim sum, though pricey by chinatown standards, is worth it.	food#-1	price#-1
the ambience was nice, but service wasn't so great.	service#-1	ambience#-1
the location and ambience is ok but the food is what makes up for it.	food#-1	ambience#-1
while we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.	ambience#-1	food#-1
while the $20 entree range is not overly expensive, in new york city, there is definitely better food in that range, and so sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which i will return.	anecdotes/miscellaneous#-1	ambience#-1	price#-1	food#-1
prices are higher to dine in and their chicken tikka marsala is quite good.	food#-1	price#-1
the restaurant is rather small but we were lucky to get a table quickly.	service#-1	ambience#-1
i was a little leary about mary's at first - it's small, crowded and you usually have to wait on line - but i'm glad i finally tried it.	ambience#-1	anecdotes/miscellaneous#-1
the restaurant itself is not large, but seems to have several round tables to accommodate large groups hoping to save a buck to eat authentic taiwanese.	price#-1	food#-1
we were fans of the half-price saturday night option until some inedible squid during a recent visit.	food#-1	price#-1
the food is reliable and the price is moderate.	food#-1	price#-1
while the ambiance and atmosphere were great, the food and service could have been a lot better.	food#-1	service#-1	ambience#-1
the food is usually good but it certainly isn't a relaxing place to go.	food#-1	ambience#-1
even though its good seafood, the prices are too high.	food#-1	price#-1
my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal.	service#-1	food#-1
however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.	service#-1	ambience#-1
outstanding bagels, but you get what you pay for.	food#-1	price#-1
